FID,YEAR_,DISTRICT,COSITE,ROADWAY,DESC_FRM,DESC_TO,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,Shape__Length
1,2024,2,315004,31030000,NE LANCASTER ST,SR-47,7000,X,F,F,F,F,31,Gilchrist,2,2.296,2.44,9.5,0,54.6,9.6,231.7479,231.747940034289
2,2024,4,867002,86000260,SR-842/BROWARD BLVD,FROM PARK & RIDE,3200,F,F,F,F,F,86,Broward,4,0,0.245,9,0,55,8.2,390.553,390.552981632606
3,2024,2,339102,33503500,W US-27/SR-20,NW TURLINGTON RD,450,C,F,F,F,F,33,Lafayette,2,0,3.217,9.5,0,58,16.2,5173.4155,5173.41550668283
4,2024,7,159103,15000254,49 ST N SB,N/A,22000,C,F,F,F,F,15,Pinellas,7,1.696,1.717,9,0,53.4,5.9,33.7834,33.7833887097789
5,2024,7,155182,15009000,N/A,US-19/SR-55,31000,C,F,F,F,A,15,Pinellas,7,2.063,2.581,9,0,53.4,5.1,833.7909,833.790933746979
6,2024,1,170069,17000585,COMMUNICATIONS PKWY,UNIVERSITY PKWY,11000,C,F,F,F,F,17,Sarasota,1,0,1.081,9,0,54,11.8,1766.2729,1766.27291930011
7,2024,1,174165,17000039,WASHINGTON,TUTTLE AVE,15400,F,F,F,F,1,17,Sarasota,1,0,1,9,0,54,5.3,1610.9214,1610.92138983585
8,2024,1,169293,16690000,US-17/SR-555,CR655/RIFLE RANGE RD,8500,C,F,F,F,F,16,Polk,1,0,3.331,9,0,56,17.8,5358.6404,5358.64043818309
9,2024,1,164135,16504000,SR-659/N COMBEE RD,N/A,8400,F,F,F,F,1,16,Polk,1,0,0.791,9,0,56,20.4,1279.7035,1279.70349432344
10,2024,1,174902,17000132,CHANCELLOR BLVD,US-41/TAMIAMI TRL,18400,F,F,F,F,1,17,Sarasota,1,0,0.383,9,0,54,6.3,616.5635,616.563525977171
11,2024,2,326004,32100126,I-75 SB,I-75 SB,1600,C,F,F,W,F,32,Hamilton,2,0,0.492,9.5,0,99.9,31.3,789.8542,789.854224425774
12,2024,4,869736,86000255,SR-842/BROWARD BLVD,N/A,10200,F,F,F,F,F,86,Broward,4,0,0.461,9,0,53.7,8.2,742.695,742.695032400619
13,2024,1,164081,16880000,W PIPKIN RD,DRANE FIELD RD,24000,F,F,F,F,F,16,Polk,1,3.01,4.766,9.5,0,56,10.7,2825.8291,2825.82913897207
14,2024,3,470056,47540000,SE MARYSVILLE SCHOOL,SR-71,50,F,F,F,F,F,47,Calhoun,3,0,3.125,9.5,0,61.6,11.1,5035.9897,5035.98967041158
15,2024,2,300234,30030000,N/A,CR-351/NE 351 HWY,2815,C,A,A,A,A,30,Dixie,2,28.089,33.685,9.5,0,55.2,12.1,9013.6938,9013.69378477934
16,2024,2,349132,34590000,US-41/SR-45,MARION CO LINE,1700,F,F,F,F,F,34,Levy,2,0,2.296,9.5,0,55.5,2,3685.1039,3685.10394544977
17,2024,7,155300,15007000,BELLEAIR RD,CR-488/LAKEVIEW,27500,E,F,F,F,F,15,Pinellas,7,1.535,2.283,9,0,53.4,4,1203.6992,1203.69923624317
18,2024,2,329112,32510000,SR-100/CR-6,GEORGIA STATE LINE,700,C,F,F,F,F,32,Hamilton,2,0,7.063,9,0,56.4,18.8,11374.334,11374.3339957718
19,2024,7,159242,15000427,LAKEFRONT DR,TARPON LAKE BLVD,1400,X,F,F,F,F,15,Pinellas,7,0,1.723,9,0,53.4,5.9,2774.8734,2774.87341304005
20,2024,4,937015,93000008,SR-710/BEELINE HWY,SR-706/INDIANTOWN RD,6400,F,F,F,F,F,93,Palm Beach,4,0,2.809,9,0,61.5,4.7,4532.3579,4532.35792660146
21,2024,3,485211,48000044,SR-296,SUMMIT BLVD,2100,C,F,F,F,A,48,Escambia,3,0,0.628,9,0,55.1,4,1020.8022,1020.80222097974
22,2024,3,475010,47020000,SR-20,N/A,8400,C,F,F,F,F,47,Calhoun,3,20.977,21.475,9.5,0,61.6,10.8,802.9013,802.90129511464
23,2024,6,876134,87200094,SR-953/NW 42 AVE SB,SR-836 EB,6200,C,F,F,W,A,87,Miami-Dade,6,0,0.118,8,0,99.9,1.2,192.4432,192.443173814474
24,2024,1,164188,16590000,SR 60,SR 555,14000,F,F,F,F,1,16,Polk,1,7.675,13.375,9,0,56,16.6,9166.9448,9166.94482936778
25,2024,1,974022,16470012,WARING ROAD,SR 570 WB,2100,C,F,F,W,F,16,Polk,8,0,0.244,9,0,99.9,14.1,389.1609,389.160906797184
26,2024,5,777015,77507000,ORANGE COUNTY LINE,N/A,28000,C,F,F,F,A,77,Seminole,5,0,0.4,9,0,52.3,2.8,645.6074,645.607412173452
27,2024,3,485110,48012000,US-90/SR-10A,ESPERANTO DR,28000,C,F,F,F,F,48,Escambia,3,0,0.908,9,0,55.1,2,1467.1829,1467.18293870588
28,2024,1,174526,17000538,FRUITVILLE RD/'SR 78,N CATTLEMAN RD,16600,F,F,F,F,1,17,Sarasota,1,0,1.442,9,0,54,5.1,2323.636,2323.63599662689
29,2024,2,355031,35060000,S OF I-10/SR-8,SE BETHUNE TRL,3800,C,F,F,F,F,35,Madison,2,0,4.324,9.5,0,57.3,15.9,6959.8903,6959.89030005893
30,2024,3,460295,46590004,SR-30,US-98/SR-30A,4700,C,F,F,F,F,46,Bay,3,0,0.608,9,0,57.5,5.4,1000.2165,1000.21645669896
31,2024,3,465101,46540000,CR-28/11TH ST,US-98/SR-30A/E 15TH,7200,F,F,F,F,F,46,Bay,3,1.006,1.509,9,0,54.8,8.8,809.7316,809.731568867441
32,2024,3,485206,48004000,SR-291/N DAVIS HWY,SR-289/N 9TH AVE,27000,F,F,F,F,F,48,Escambia,3,9.647,10.043,9,0,55.1,3,640.0513,640.051274594375
33,2024,4,930778,93000411,20 ST,34 ST,5100,C,F,F,F,2,93,Palm Beach,4,0,0.768,9,0,58.6,5.5,1235.8576,1235.85762490245
34,2024,3,485319,48003000,US-98/SR-30,US-98/SR-30/E GREGOR,11200,F,F,F,F,F,48,Escambia,3,0,0.083,9,0,55.1,1.5,134.2033,134.20334913917
35,2024,2,320236,32100000,SUWANNEE CO LINE,US-129/SR-51,38500,C,F,F,F,F,32,Hamilton,2,0,9.299,10.5,0,53.6,31.3,14964.876,14964.8759600322
36,2024,7,159076,15000331,PINELLAS POINT DR S,62 AV S,6400,R,F,F,F,F,15,Pinellas,7,0,0.503,9,0,53.4,5.9,806.8057,806.805683639657
37,2024,4,937574,93730001,SW 7 AVE,SR-25/US-27,3500,S,F,F,F,F,93,Palm Beach,4,0,0.176,9,0,61.5,4.7,271.0613,271.061274943207
38,2024,2,340084,34030000,N/A,US-41/SR-45/SR-121,7500,C,F,F,F,A,34,Levy,2,17.955,20.224,9.5,0,55.5,9.2,3655.3104,3655.31042293341
39,2024,1,174216,17000064,SR 45/US 41,UNSIGNED,21500,C,F,F,F,A,17,Sarasota,1,0,5.819,9,0,54,12.3,9367.2849,9367.28490297352
40,2024,7,159133,15000299,EAST LAKE RD,RIDGEMOOR BLVD,4500,X,F,F,F,F,15,Pinellas,7,0,1.917,9,0,53.4,5.9,3074.6441,3074.6440676093
41,2024,7,159077,15000146,26 AVE S,CR-216 / 62 AV N,3100,R,F,F,F,F,15,Pinellas,7,0,5.772,9,0,53.4,5.9,9268.2286,9268.22861688677
42,2024,7,159129,15000494,GULF BAY BLVD,DREW ST,3400,C,F,F,F,F,15,Pinellas,7,0,0.557,9,0,53.4,5.9,891.1413,891.141282522766
43,2024,7,159066,15000117,PARK ST N,US-19/34 ST N,5700,R,F,F,F,F,15,Pinellas,7,0,4.607,9,0,53.4,5.9,7411.4349,7411.4349108339
44,2024,3,485213,48000061,US-90A/SR-10,UNIVERSITY PKWY,1400,C,F,F,F,F,48,Escambia,3,0,0.944,9,0,55.1,6.3,1524.3464,1524.34642249879
45,2024,1,164134,16504000,N/A,417' EAST OF LOOP RD,11600,F,F,F,F,1,16,Polk,1,0.791,3.619,9,0,56,8.3,4549.9206,4549.92057180196
46,2024,2,340239,34070000,CR-345,N/A,1569,C,A,A,A,A,34,Levy,2,9.391,19.774,9.5,0,57.4,11.3,16690.7254,16690.72543413
47,2024,2,315002,31030000,SE 3RD AVE,SR-26/WADE ST,8300,C,F,F,F,F,31,Gilchrist,2,1.956,2.099,9.5,0,54.6,7.7,230.1886,230.188613779845
48,2024,4,937695,93612000,AVE L,SR-80,2200,S,F,F,F,F,93,Palm Beach,4,0,2.027,9,0,61.5,4.7,3261.0189,3261.01891321025
49,2024,2,339117,33550000,SW KEY RD,US-27/SR-20/W MAIN S,1100,X,F,F,F,F,33,Lafayette,2,0,3.838,9.5,0,58,16.2,6176.6928,6176.69276069063
50,2024,7,159191,15000217,5 AVE S,N/A,7200,C,F,F,F,F,15,Pinellas,7,0,0.653,9,0,53.4,5.9,1052.8881,1052.88812005936
51,2024,1,170036,17020000,CR 772 VENICE AVE,SR 45A SB US 41,20000,S,F,F,F,2,17,Sarasota,1,0,0.638,9,0,53.6,2.6,1026.6956,1026.69563210316
52,2024,7,159115,15000511,PINELLAS BAYWAY S,END OF PAVEMENT,4800,C,F,F,F,F,15,Pinellas,7,0,0.615,9,0,53.4,5.9,989.9435,989.943466070469
53,2024,1,160167,16670000,MAMMOTH GROVE RD,N/A,3600,F,F,F,F,1,16,Polk,1,9.183,11.885,9,0,56,9.7,4345.6638,4345.66382953742
54,2024,1,174546,17000564,N/A,PONCE DE LEON BLVD,7100,S,F,F,F,2,17,Sarasota,1,1.51,1.803,9,0,54,6.6,468.9864,468.986425908305
55,2024,1,174400,17000025,N/A,SR 93/I-75,36000,C,F,F,F,F,17,Sarasota,1,4.443,5.239,9,0,54,11.8,1281.1718,1281.17184908224
56,2024,4,937539,93000382,TOWN CENTER PKWY N,END OF PVMT,7500,S,F,F,F,F,93,Palm Beach,4,0,1.846,9,0,58.6,4.7,2977.5,2977.49995591861
57,2024,1,164110,16700001,SR37 / FLORIDA AVE,CR37B/LKLND HIGHLAND,23500,F,F,F,F,F,16,Polk,1,0,2.765,9,0,56,11.1,4484.7616,4484.7615790112
58,2024,1,974140,16470037,16470033 RAMP,SR540/WINTER LAKE RD,1300,C,F,F,W,F,16,Polk,8,0,0.196,9.5,0,99.9,14.1,312.9563,312.956306444579
59,2024,1,174487,17000108,BENEVA RD,SR 72/CLARK RD,6000,F,F,F,F,1,17,Sarasota,1,0,2.141,9,0,54,2.6,3440.5609,3440.56086086505
60,2024,1,164749,16610000,AIRPORT RD,S WABASH AVE,2500,S,F,F,F,2,16,Polk,1,2.326,4.31,9,0,56,8,3181.9202,3181.92020102191
61,2024,4,865321,86000240,BRANDYWINE CONDO,EB I-595,20300,F,F,F,F,1,86,Broward,4,1.586,2.128,9,0,53.7,3.6,872.3382,872.338199313409
62,2024,2,380013,33010000,TAYLOR CO LINE,N/A,3500,X,F,F,F,F,33,Lafayette,2,0,1.791,9.5,0,58.9,7.1,2883.1125,2883.1124688123
63,2024,3,484046,48010000,CHEMSTRAND RD,UNIVERSITY PKWY,42500,S,F,F,F,2,48,Escambia,3,11.323,13.777,9,0,55.1,4.1,3968.1781,3968.1780556422
64,2024,3,485116,48000002,PORT AUTHORITY GATE,SR-196,1700,F,F,F,F,1,48,Escambia,3,0,0.145,9,0,55.1,15.9,231.1603,231.1602977857
65,2024,2,300113,30010000,SE 259 ST,N/A,9100,C,F,F,F,F,30,Dixie,2,16.253,16.487,9.5,0,58.8,13.6,376.7097,376.709705748496
66,2024,3,460278,46651000,SR-30,SR-392A/HUTCHISON BL,10300,F,F,F,F,F,46,Bay,3,0,0.276,9,0,59.4,8.8,449.1485,449.148486982819
67,2024,2,349126,34529000,US19/US27A/US98/SR55,NW 180 ST/SW 100 ST,2500,X,F,F,F,F,34,Levy,2,0,0.187,9.5,0,55.5,2,302.8184,302.818443956345
68,2024,2,320021,32010000,CR-135/THIRD ST,N/A,2800,C,F,F,F,F,32,Hamilton,2,0.78,4.697,9.5,0,56.4,12.9,6303.2936,6303.29358211057
69,2024,7,159168,15000448,PIER 60 2ND CROSSWAL,N/A,31500,X,F,F,F,F,15,Pinellas,7,0,0.075,9,0,53.4,5.9,121.1526,121.152613946275
70,2024,4,937013,93000006,SR-706/INDIANTOWN RD,N/A,16900,F,F,F,F,F,93,Palm Beach,4,0,0.522,9,0,61.5,4.7,842.174,842.174016741269
71,2024,3,485042,48000028,E FENCE RD,US90/SR10A/MOBILE HW,1000,F,F,F,F,F,48,Escambia,3,0,1.664,9,0,55.1,6.3,2674.5238,2674.52383023544
72,2024,3,470044,47040000,CR-274/SE CR 274,JACKSON CO LINE,2000,C,F,F,F,A,47,Calhoun,3,23.013,25.062,9.5,0,61.6,17.5,3305.7322,3305.7321689869
73,2024,6,876128,87200087,SR-836/EB,SR-959 / NW 57 AVE,8400,C,F,F,W,A,87,Miami-Dade,6,0,0.164,8,0,99.9,2.6,263.1646,263.164585177573
74,2024,1,164240,16550000,N/A,US-98,22500,F,F,F,F,1,16,Polk,1,3.667,10.531,9,0,56,6.2,11047.068,11047.067982514
75,2024,1,974016,16470008,SR 572/AIRPORT ROAD,SR 570 WB,3100,C,F,F,W,F,16,Polk,8,0,0.243,9,0,99.9,14.1,389.883,389.88298319899
76,2024,7,159165,15000481,WOODLANDS PKWY,MICHAELS CIR,3700,X,F,F,F,F,15,Pinellas,7,0,1.01,9,0,53.4,7.3,1616.8657,1616.86567649133
77,2024,5,777017,77507000,EASTBROOK BLVD,GRAND AVE,29000,C,F,F,F,A,77,Seminole,5,1.55,2.525,9,0,52.3,2.8,1574.6139,1574.61390295133
78,2024,3,485098,48013000,LANIER DR,LANIER DR,4100,C,F,F,F,F,48,Escambia,3,3.027,3.154,9,0,55.1,6.3,205.1433,205.143330240242
79,2024,1,174521,17000160,S OSPREY AVE,UNSIGNED,10300,S,F,F,F,2,17,Sarasota,1,0,0.151,9,0,54,2.7,245.0979,245.097932608263
80,2024,2,350003,35050000,CR-158/SW SUNDOWN CR,CR-150/SW OVERSTREET,1300,C,F,F,F,F,35,Madison,2,9.213,11.669,9.5,0,57.3,16.4,3955.002,3955.00196914588
81,2024,3,460307,46630000,S GAINER BAYOU RD,RESOTA BCH RD,10500,F,F,F,F,F,46,Bay,3,2.805,3.566,9,0,55.7,8.8,1229.6739,1229.67385198954
82,2024,3,465107,46560005,US-98B/SR-30,CR-28/11TH ST,1800,F,F,F,F,F,46,Bay,3,0,0.591,9,0,54.8,8.8,968.3049,968.304896453928
83,2024,3,484052,48010000,CR-95A/N PALAFOX ST,CHEMSTRAND RD,38000,C,F,F,F,A,48,Escambia,3,10.649,11.323,9,0,55.1,3.4,1089.8718,1089.87175133521
84,2024,4,937519,93000400,OLD DIXIE HWY,US-1/SR-5/FEDERAL H,5600,S,F,F,F,F,93,Palm Beach,4,0,0.345,9,0,61.5,4.7,561.2147,561.214749511038
85,2024,3,485050,48003000,TEXAR DR,E FAIRFIELD DR,16600,F,F,F,F,F,48,Escambia,3,2.211,2.707,9,0,55.1,1.5,802.1986,802.198576527979
86,2024,2,310103,31070000,LEVY CO LINE,US-129/SR-49,1900,C,F,F,F,F,31,Gilchrist,2,0,2.177,9.5,0,54.6,7,3502.4548,3502.45480761687
87,2024,5,778077,77510001,SR-15/SR-600,PEN AVE,24500,C,F,F,F,F,77,Seminole,5,0.28,0.414,9,0,52.3,7,214.0841,214.084076531274
88,2024,3,465220,46560006,CR-2312/BALDWIN RD,SR-390,14600,C,F,F,F,A,46,Bay,3,3.129,4.451,9,0,54.8,10.1,2130.3826,2130.38260861439
89,2024,2,349122,34523000,CR-322,US-27/SR-500,1500,R,F,F,F,F,34,Levy,2,0,4.029,9.5,0,55.5,2,6480.9332,6480.93323682734
90,2024,2,329118,32570000,US-129/SR-51,US-41 S/SR-25,500,C,F,F,F,F,32,Hamilton,2,0,6.156,9.5,0,56.4,18.8,9898.2248,9898.22477821135
91,2024,7,159244,15000430,BEG OF PAVEMENT,KEYSTONE RD,600,X,F,F,F,F,15,Pinellas,7,0,0.83,9,0,53.4,5.9,1337.5287,1337.5286630466
92,2024,4,937413,93000011,CAMINO REAL,W PALMETTO PARK RD,3200,S,F,F,F,F,93,Palm Beach,4,0,0.425,9,0,58.6,4.7,684.7687,684.768708245655
93,2024,3,485242,48000040,LANGLEY AVE,SR-742,1400,C,F,F,F,A,48,Escambia,3,0,0.832,9,0,55.1,3.5,1341.5061,1341.50608962421
94,2024,3,470013,47500000,SR-71/N MAIN ST,NE CR-275,1200,F,F,F,F,F,47,Calhoun,3,17.319,19.203,9.5,0,61.6,11.1,3037.3875,3037.38749516873
95,2024,6,876139,87200099,NW 37 AVE,SR-836 EB,5600,C,F,F,W,A,87,Miami-Dade,6,0,0.124,8,0,99.9,2.6,194.3784,194.378419663013
96,2024,7,159145,15000313,US-19 / SR-595 / BAY,SAN JOSE CIR,400,X,F,F,W,F,15,Pinellas,7,0,0.189,9,0,99.99,5.9,305.6224,305.622399353905
97,2024,1,974019,16470009,SR 572/AIRPORT ROAD,SR 570 EB,1700,C,F,F,W,F,16,Polk,8,0,0.225,9,0,99.9,14.1,358.5747,358.574659831054
98,2024,1,174541,17000561,JENSLEY AVE,TROPICARE BLVD,7300,S,F,F,F,2,17,Sarasota,1,2.499,3.11,9,0,54,8.6,982.3321,982.33212675032
99,2024,5,777014,77505000,LAKE MARY BLVD,H.E. THOMAS JR PKWY,29000,C,F,F,F,A,77,Seminole,5,0,2.09,9,0,52.3,2.7,3362.2832,3362.28318533299
100,2024,3,485039,48012000,BAYOU BLVD,US-90/SR-10A,8400,C,F,F,F,A,48,Escambia,3,9.146,9.601,9,0,55.1,2,735.2936,735.293635587384
101,2024,1,174518,17000141,RINGLING BLVD,SR 780 FRUITVILLE RD,5200,S,F,F,F,2,17,Sarasota,1,0,0.133,9,0,54,2.5,212.5666,212.566641383514
102,2024,2,350017,35040000,CR-253/CHERRY LAKE,GEORGIA STATE LINE,1050,C,F,F,F,A,35,Madison,2,9.88,12.379,9.5,0,57.3,13.4,4023.727,4023.72699950671
103,2024,3,465018,46560501,US-231/SR-75,HAMILTON AVE,1100,C,F,F,F,F,46,Bay,3,0,0.479,9,0,54.8,8.8,755.1031,755.103059539549
104,2024,3,484021,48004000,CR-298A/W JACKSON ST,SR-298/LILLIAN HWY,13500,C,F,F,F,F,48,Escambia,3,2.754,3.01,9,0,55.1,2.8,413.9232,413.9231797988
105,2024,4,937519,93000403,RCA BLVD,KYOTO GARDENS DR,5600,S,F,F,F,F,93,Palm Beach,4,0,0.652,9,0,61.5,4.7,1057.2596,1057.25957951157
106,2024,3,485233,48003000,US-90/SR-10A/E CERVA,TEXAR DR,15900,F,F,F,F,1,48,Escambia,3,0.496,2.211,9,0,55.1,3,2773.6695,2773.6695280696
107,2024,2,319113,31550000,SE 70TH AVE,SR-26,450,S,F,F,F,F,31,Gilchrist,2,0,5.311,9.5,0,54.6,7,8559.7919,8559.79188056288
108,2024,7,159039,15000334,MCMULLEN RD,KEENE RD,5100,V,F,F,F,F,15,Pinellas,7,0,0.38,9,0,53.4,5.9,609.1523,609.152322865283
109,2024,4,935237,93700000,MARKET RD,SR-700/CONNERS HWY,3400,S,F,F,F,F,93,Palm Beach,4,0,5.586,9,0,61.5,4.7,8978.6125,8978.61249240445
110,2024,2,340089,34020000,US-19/27A/98/SR-55,CR-346A,3500,C,F,F,F,A,34,Levy,2,0,6.326,9.5,0,55.5,7.7,10192.5604,10192.5604298303
111,2024,1,174290,17000062,S AUBURN RD,JACARANDA BLVD,19000,F,F,F,F,1,17,Sarasota,1,0,1.016,9,0,54,3.8,1643.7212,1643.72119062695
112,2024,7,159111,15000270,USALT19/PINELLAS AVE,US-19,1950,C,F,F,F,F,15,Pinellas,7,0,1.115,9,0,53.4,5.9,1802.4834,1802.48335508238
113,2024,7,159226,15000173,4 ST N,1 ST N,3700,X,F,F,F,F,15,Pinellas,7,1.994,2.255,9,0,53.4,5.9,418.894,418.893978353765
114,2024,7,159003,15000492,S PINELLAS AVE,S DISSTON,4000,V,F,F,F,F,15,Pinellas,7,0,0.651,9,0,53.4,5.9,1046.3266,1046.32659825458
115,2024,7,159048,15000076,INDIAN ROCKS RD,CLEARWATER-LARGO RD,3100,R,F,F,F,F,15,Pinellas,7,0,1,9,0,53.4,5.9,1620.4968,1620.49681324042
116,2024,1,174112,17008000,SR 93/I-75,AT ROW LINE,28000,C,F,F,F,2,17,Sarasota,1,5.066,5.432,9,0,54,5,591.8753,591.875268163683
117,2024,2,349112,34507000,USA-27/SR-500,US-27/US-41/SR-45,1700,V,F,F,F,F,34,Levy,2,0,8.2,9.5,0,55.5,2,13207.3624,13207.3624266491
118,2024,3,485122,48000114,W MAIN ST,US-90/US-98/SR-10A,3200,F,F,F,F,1,48,Escambia,3,0,0.969,9,0,55.1,3.4,1556.7603,1556.76030484477
119,2024,1,974076,16470052,PACE RD,SR 570 WB,850,C,F,F,W,F,16,Polk,8,0,0.262,9.5,0,99.9,14.1,425.3883,425.388265708848
120,2024,2,340168,34110000,CR-341/SW 14 ST,SW 7TH ST,2400,C,F,F,F,A,34,Levy,2,18.522,18.908,9.5,0,55.5,5.3,621.0406,621.040629277253
121,2024,2,309112,30591000,BEG OF PAVEMENT,NW 351 HWY,150,S,F,F,F,F,30,Dixie,2,0,11.392,9.5,0,58.8,13.6,18335.4674,18335.4674237718
122,2024,4,935124,93650000,HILTON AIRPORT CNTR,N/A,45500,F,F,F,F,F,93,Palm Beach,4,0.282,1.025,9,0,58.6,4.7,1191.7359,1191.73586281109
123,2024,2,339112,33520000,US-27/SR-20,N SR-51,400,R,F,F,F,F,33,Lafayette,2,0,10.242,9.5,0,58,16.2,16481.8651,16481.8650721484
124,2024,7,159100,15000251,CENTRAL PARK DR,LAKE AVE,5100,C,F,F,F,F,15,Pinellas,7,0,1.17,9,0,53.4,5.9,1891.2037,1891.20366818059
125,2024,1,170049,17010000,N/A,ROCKLEY BLVD,24000,F,F,F,F,1,17,Sarasota,1,6.138,9.878,9.5,0,53.6,5.7,6027.4992,6027.49916084738
126,2024,2,350036,35010000,SW OCEAN WAY,N/A,2100,C,F,F,F,A,35,Madison,2,3.897,6.107,9.5,0,57.3,9.8,3557.7336,3557.73362913296
127,2024,7,150092,15002000,N/A,N/A,38500,E,F,F,F,F,15,Pinellas,7,0.049,0.705,8,0,58.3,4,1068.1683,1068.16827184942
128,2024,1,164755,16670000,US 27,N/A,4400,S,F,F,F,2,16,Polk,1,0,3.294,9.5,0,56,5.6,5297.8129,5297.81289345326
129,2024,1,174565,17000578,CHARLOTTE CO LINE,SR 93/I-75,250,F,F,F,F,1,17,Sarasota,1,0,1.643,9.5,0,54,11.7,2641.9589,2641.95885454039
130,2024,1,174438,17000040,FRUITVILLE RD/SR 780,CIRCUS BLVD,20400,C,F,F,F,F,17,Sarasota,1,0,2.66,9,0,54,3.5,4247.8292,4247.82919008745
131,2024,4,937137,93000393,LYONS RD,POLO RD,10100,S,F,F,F,F,93,Palm Beach,4,0,0.505,9,0,58.6,4.7,815.6534,815.653374554058
132,2024,3,485048,48000035,US-98B/SR 30,US90/US98/SR10A/CERV,850,C,F,F,F,F,48,Escambia,3,0,0.591,9,0,55.1,6.3,962.6288,962.628796410241
133,2024,3,471503,47020000,SW CHIPOLA RD,SR-20,3200,F,F,F,F,F,47,Calhoun,3,19.76,20.977,9.5,0,61.6,13.2,1962.1172,1962.11720053306
134,2024,1,174515,17000136,MCINTOSH RD,HONORE AVE,7500,F,F,F,F,1,17,Sarasota,1,0,0.662,9,0,54,3.6,1059.2202,1059.22020419083
135,2024,1,164969,16600000,HILLSBOROUGH CO LINE,N/A,9000,C,F,F,F,F,16,Polk,1,0,3.823,9,0,56,17.8,6162.1617,6162.16169116517
136,2024,1,974024,16470014,SR 570 WB,PKWY FRONTAGE ROAD N,1600,C,F,F,W,F,16,Polk,8,0,0.035,9,0,99.9,14.1,56.6928,56.6927751144573
137,2024,4,869513,86000240,SR-838/SUNRISE BLVD,N/A,21500,F,F,F,F,F,86,Broward,4,4.017,4.993,9,0,53.7,8.2,1570.7437,1570.74372590121
138,2024,2,329120,32590000,US-41,US-41,850,X,F,F,F,F,32,Hamilton,2,0,13.551,9.5,0,56.4,18.8,21799.6266,21799.626566341
139,2024,1,174533,17000545,WASHINGTON BLVD,TUTTLE AVE,6400,F,F,F,F,1,17,Sarasota,1,0,1.066,9,0,54,8.2,1718.1942,1718.19420186596
140,2024,3,470020,47502000,SR-20,SR-73,650,F,F,F,F,F,47,Calhoun,3,0,3.876,9.5,0,61.6,11.1,6247.6734,6247.67343891789
141,2024,2,350044,35010000,SE DAVIS AVE,NE COUNTRY KITCHEN R,7700,X,F,F,F,F,35,Madison,2,20.765,21.559,9.5,0,57.3,7.3,1278.1072,1278.1072168961
142,2024,3,460300,46658000,CR-30,SR-392A,2300,C,F,F,F,F,46,Bay,3,0,0.355,9,0,59.4,8.8,571.0871,571.087083641374
143,2024,2,345024,34630000,SR-345/SW 4TH AVE,GILCHRIST CO LINE,2500,F,F,F,F,F,34,Levy,2,0,8.019,9.5,0,55.5,2,12910.0322,12910.0322129637
144,2024,2,320020,32010000,CR-152,GEORGIA STATE LINE,1700,C,F,F,F,F,32,Hamilton,2,26.742,32.782,9.5,0,56.4,12.9,9719.6788,9719.67884037185
145,2024,7,159239,15000423,BELCHER RD,WINCHESTER DR,700,X,F,F,F,F,15,Pinellas,7,0,0.246,9,0,53.4,5.9,396.3904,396.390400541562
146,2024,4,937004,93000002,JOG ROAD,N/A,26000,F,F,F,F,F,93,Palm Beach,4,0,1.516,9,0,58.6,4.7,2438.7009,2438.70089426747
147,2024,2,349909,34010000,NW 153 LN,NW 120TH ST,13329,C,1,1,1,A,34,Levy,2,3.042,6.846,9.5,0,53.4,7.2,6126.0445,6126.04445953697
148,2024,6,872208,87200000,Bridge No-870147,N/A,129500,C,F,F,F,F,87,Miami-Dade,6,10.59,11.332,8,0,62.7,4,1192.4333,1192.43334029682
149,2024,1,164093,16550000,N/A,N/A,24000,F,F,F,F,1,16,Polk,1,2.262,3.667,9,0,56,6.4,2261.1777,2261.17767841694
150,2024,1,974008,16470004,SR 570 WB,I-4/SR 400 EB,6200,C,F,F,W,F,16,Polk,8,0,0.3,9,0,99.9,14.1,491.0184,491.018351502565
151,2024,7,152726,15000465,CR296/BRYAN DAIRY RD,SR-693/66 ST N,3500,F,F,F,W,F,15,Pinellas,7,0,0.177,8,0,99.9,7.3,287.0423,287.042282365892
152,2024,5,777020,77530000,HE THOMAS JR PKWY,N/A,16000,C,F,F,F,A,77,Seminole,5,4.402,5.337,9,0,52.3,12.4,1508.048,1508.04804082458
153,2024,3,484065,48020000,SR-173/BLUE ANGEL PK,FAIRGROUNDS,10100,F,F,F,F,1,48,Escambia,3,6.689,7.788,9,0,55.1,5.6,1778.085,1778.08496663825
154,2024,3,461640,46600000,CR-389,CR-2327/TRANSMITTER,17000,C,F,F,F,F,46,Bay,3,1.341,2.598,9,0,54.8,8.8,2020.5613,2020.56133300861
155,2024,3,465179,46560012,CR-2327/TRANSMITTER,BOB LITTLE RD,3700,C,F,F,F,F,46,Bay,3,0.519,1.015,9,0,54.8,8.8,802.8107,802.810737816896
156,2024,3,485151,48004000,US-90/SR-10A/MOBILE,SR-295 NB,22000,C,F,F,F,A,48,Escambia,3,5.951,6.755,9,0,55.1,2.8,1299.589,1299.5890080534
157,2024,4,971521,94470019,SR 91 NB,RAMP 016,7400,C,F,F,W,F,94,St. Lucie,8,0,0.28,9,0,99.9,19,447.8317,447.831650281889
