FID,YEAR_,DISTRICT,COSITE,ROADWAY,DESC_FRM,DESC_TO,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,Shape__Length
14622,2024,4,860036,86018000,SR-817/UNIVERSITY DR,SW 72 AVE,47500,C,F,F,F,A,86,Broward,4,0,1.021,9,0,53.7,2.9,1640.1874,1640.18744703037
14623,2024,5,708053,70000153,GRANT ST,US-1/SR5/HARBOR CITY,1250,F,F,F,F,1,70,Brevard,5,0,0.482,9,0,53.8,5.7,775.7977,775.797719016055
14624,2024,2,724333,72170449,GORE AT US-17 SB,GORE AT SR-21 SB,9900,C,F,F,W,F,72,Duval,2,0,0.287,9,0,99.9,13.6,477.1711,477.171055052316
14625,2024,5,708066,70000200,SAN FILIPPO DR,BABCOCK ST,5400,C,F,F,F,F,70,Brevard,5,0,0.364,9,0,53.8,4.5,591.8779,591.87785726605
14626,2024,4,860199,86080000,N/A,N/A,20000,C,F,F,F,A,86,Broward,4,17.514,17.98,9,0,99.9,8.4,750.4572,750.457176442204
14627,2024,4,864125,86075046,I-75/SR-93 SB,N/A,17000,F,F,F,W,F,86,Broward,4,0,0.462,8,0,99.9,7.2,741.2413,741.24132067997
14628,2024,5,758467,75000464,TERRA VISTA WAY,HUNTERS CREEK BLVD,9000,C,F,F,F,F,75,Orange,5,0,1.449,9,0,52.9,4.5,2327.2953,2327.29529601298
14629,2024,2,725501,72070443,BERTHA ST,N/A,8000,C,F,F,F,F,72,Duval,2,0.105,0.156,9,0,54.9,1.5,82.3752,82.3752184811328
14630,2024,2,720577,72230000,DONNER RD,MAYPORT CROSSING,29500,C,F,F,F,F,72,Duval,2,0.842,2.3,9,0,53.9,2.6,2346.3856,2346.38556195313
14631,2024,5,798129,79000206,US-1/SR-5/RIDGEWOOD,S BEACH ST,1650,E,F,F,F,F,79,Volusia,5,0,0.15,9,0,57.7,6.7,234.2818,234.281827514524
14632,2024,4,860610,86080500,N/A,N/A,20000,C,F,F,W,A,86,Broward,4,5.795,6.563,9,0,99.9,3.5,1235.9017,1235.90174369242
14633,2024,6,876365,87270514,87004002 EB OFF,I-95/NB,6500,F,F,F,W,1,87,Miami-Dade,6,0,0.795,8,0,99.9,4.3,1273.9333,1273.93334989351
